波次序号,订单编号,分拣项数
29,D938|D1567|D1259|D1329|D1112|D900|D1037|D1389|D433|D916|D628|D585|D518|D1388|D683|D798,52
30,D689|D206|D104|D953|D1239|D380|D1539|D1122|D716|D156|D402|D1059|D1316|D1288|D665|D1030,46
31,D885|D1078|D1491|D821|D192|D841|D68|D488|D1277|D859|D682|D975|D1313|D1348|D105|D1213,108
32,D47|D732|D599|D870|D1422|D1467|D220|D838|D491|D10|D489|D229|D1577|D349|D1518|D370,43
33,D1028|D1143|D141|D470|D20|D371|D1459|D1257|D49|D1306|D759|D1152|D1280|D774|D1236|D634,76
34,D532|D373|D2|D692|D303|D754|D271|D666|D814|D1312|D514|D315|D1456|D335|D1031|D430,117
35,D152|D76|D1493|D1370|D118|D917|D126|D1588|D1508|D622|D494|D1335|D1413|D1458|D1111|D1418,67
36,D1513|D555|D354|D1462|D226|D520|D469|D5|D1356|D34|D537|D258|D348|D1600|D1215|D270,134
37,D286|D250|D718|D820|D240|D576|D1429|D1185|D238|D752|D782|D306|D259|D1598|D791|D749,117
38,D910|D492|D569|D691|D274|D935|D1394|D1461|D1545|D1464|D907|D337|D778|D275|D601|D1315,45
39,D409|D1068|D311|D132|D1390|D1169|D1579|D522|D292|D880|D485|D397|D527|D788|D151|D989,74
40,D662|D1171|D554|D964|D572|D1157|D962|D500|D395|D1020|D645|D4|D53|D281|D865|D1010,48
41,D521|D1381|D482|D1267|D751|D976|D779|D1304|D1486|D353|D473|D1530|D1206|D89|D277|D696,81
42,D428|D266|D673|D1138|D1447|D852|D860|D307|D924|D28|D1398|D934|D464|D170|D1119|D403,65
43,D842|D1089|D1219|D981|D1271|D230|D633|D1127|D627|D262|D236|D481|D636|D279|D720|D243,77
44,D1492|D1054|D300|D937|D1241|D1460|D1414|D542|D797|D1403|D308|D1038|D947|D368|D1118|D685,90
45,D1449|D817|D1438|D222|D977|D55|D708|D556|D214|D862|D1534|D1437|D149|D282|D1336|D1445,115
46,D694|D1517|D205|D930|D1347|D553|D866|D1561|D912|D37|D570|D1158|D1597|D31|D991|D339,144
47,D526|D607|D882|D919|D536|D177|D1364|D761|D584|D1349|D725|D1160|D909|D872|D191|D101,139
48,D827|D660|D1569|D580|D1204|D680|D994|D678|D1221|D579|D1594|D1263|D1363|D1092|D558|D1133,85
49,D1494|D950|D1000|D1184|D1154|D646|D134|D684|D169|D1080|D495|D1235|D17|D1246|D1599|D1045,82
50,D1211|D1531|D670|D1166|D829|D431|D1179|D837|D1140|D1547|D1247|D165|D38|D479|D187|D863,160
51,D255|D1379|D381|D1074|D329|D1338|D649|D18|D1155|D113|D933|D573|D942|D175|D1453|D498,93
52,D1354|D1279|D379|D1175|D504|D1006|D466|D1019|D444|D1064|D980|D612|D452|D756|D160|D287,106
53,D1549|D507|D1400|D564|D1428|D1446|D224|D632|D1372|D931|D973|D1005|D643|D1264|D813|D707,138
54,D546|D35|D534|D904|D267|D948|D1249|D272|D188|D1023|D1325|D1350|D24|D72|D963|D1109,96
55,D1002|D1593|D1282|D832|D894|D1226|D133|D1358|D1049|D614|D145|D209|D511|D946|D100|D321,63
56,D408|D217|D1425|D168|D333|D1417|D1515|D1108|D1342|D1391|D297|D1258|D1199|D1332|D1582|D690,79
57,D744|D58|D1253|D970|D67|D1022|D1162|D288|D776|D16|D831|D1050|D99|D1234|D559|D1471,130
58,D66|D867|D1165|D1532|D897|D1040|D1227|D461|D285|D1090|D512|D1424|D9|D364|D284|D80,127
59,D575|D854|D960|D502|D1523|D447|D979|D120|D146|D208|D171|D510|D1273|D1047|D54|D1385,113
60,D1497|D787|D21|D1558|D940|D1374|D1439|D1043|D1293|D93|D1180|D644|D560|D385|D62|D162,109
61,D802|D669|D90|D22|D7|D800|D1125|D653|D721|D1559|D1301|D740|D1514|D73|D896|D986,92
62,D772|D75|D1|D1337|D714|D1275|D565|D936|D846|D705|D1470|D1485|D925|D199|D1281|D325,91
63,D228|D223|D1333|D95|D361|D331|D1527|D332|D84|D437|D1260|D244|D889|D1566|D602|D812,94
64,D568|D1310|D176|D1563|D463|D1252|D1095|D971|D252|D103|D713|D312|D578|D506|D1214|D858,101
65,D577|D819|D914|D1104|D734|D1087|D805|D702|D178|D1120|D1525|D140|D1137|D92|D1465|D700,102
66,D174|D83|D905|D1427|D360|D107|D1581|D1174|D1004|D56|D1265|D693|D432|D1590|D182|D1183,105
67,D1222|D715|D1240|D406|D851|D1401|D763|D316|D668|D342|D1396|D190|D1266|D1326|D390|D825,53
68,D738|D1295|D193|D1191|D483|D1501|D1110|D387|D710|D1250|D1082|D39|D400|D1420|D413|D1355,130
69,D1436|D1520|D453|D81|D1505|D91|D1145|D260|D114|D328|D847|D1272|D64|D581|D345|D1393,131
70,D94|D1261|D198|D1570|D135|D411|D780|D389|D88|D23|D125|D815|D324|D355|D412|D543,75
71,D78|D515|D458|D883|D606|D11|D290|D1322|D476|D1212|D1093|D111|D1067|D1441|D1540|D1366,91
72,D926|D1387|D70|D1490|D1455|D517|D727|D1102|D1365|D26|D239|D254|D1595|D1075|D944|D582,93
73,D357|D679|D1509|D383|D1330|D263|D884|D995|D1077|D8|D147|D227|D1124|D289|D185|D587,82
74,D1496|D1153|D52|D401|D98|D1552|D757|D1580|D1583|D130|D1081|D1117|D69|D233|D596|D60,82
75,D119|D460|D1196|D1146|D676|D857|D1233|D619|D806|D1107|D1041|D1094|D501|D219|D1423|D675,82
76,D415|D1419|D65|D786|D1576|D985|D610|D531|D728|D1395|D15|D350|D609|D1353|D1311|D369,33
77,D347|D1287|D1060|D293|D465|D1058|D853|D748|D399|D1034|D195|D305|D1302|D410|D959|D343,70
78,D1433|D1163|D686|D82|D659|D1331|D302|D808|D1048|D404|D717|D1200|D1269|D363|D40|D983,64
79,D928|D807|D1254|D248|D876|D283|D1084|D1384|D1216|D376|D257|D544|D913|D1053|D108|D1134,84
80,D701|D1156|D249|D386|D655|D958|D726|D317|D426|D625|D129|D927|D886|D861|D201|D641,68
81,D968|D747|D57|D790|D1503|D566|D1207|D920|D891|D1339|D639|D467|D1522|D1073|D127|D116,132
82,D1541|D551|D393|D1070|D1430|D992|D762|D658|D1502|D59|D1149|D1181|D183|D1361|D519|D1596,127
83,D535|D157|D1232|D855|D320|D589|D459|D1345|D32|D652|D323|D1481|D154|D1382|D1536|D722,76
84,D102|D1560|D843|D1046|D499|D1072|D795|D642|D1164|D605|D640|D1404|D42|D202|D557|D1044,60
85,D1244|D1375|D128|D1195|D441|D189|D1551|D783|D322|D1085|D79|D709|D1008|D1113|D365|D309,34
86,D388|D1290|D1136|D594|D1003|D261|D1378|D1202|D1412|D346|D1432|D593|D1208|D490|D1431|D1463,69
87,D1036|D1189|D840|D881|D405|D478|D1575|D1407|D1270|D703|D540|D1132|D1286|D1262|D591|D425,76
88,D1076|D1186|D110|D1373|D12|D1359|D1220|D123|D1450|D988|D1592|D661|D638|D674|D736|D1300,68
89,D765|D186|D1369|D1218|D906|D1538|D1091|D330|D1299|D1444|D663|D1498|D1021|D809|D1032|D51,57
90,D1225|D30|D1052|D1057|D1123|D1170|D1548|D1298|D216|D319|D1526|D1476|D1334|D1013|D792|D608,75
91,D158|D384|D828|D451|D496|D811|D43|D908|D878|D1554|D144|D767|D706|D688|D372|D623,100
92,D528|D586|D595|D943|D730|D159|D334|D41|D378|D299|D899|D44|D424|D1116|D982|D1478,39
93,D1323|D124|D1352|D810|D314|D1065|D1443|D398|D996|D1197|D677|D291|D253|D667|D1194|D839,86
94,D497|D604|D770|D215|D172|D417|D1224|D598|D1499|D1475|D442|D1009|D1176|D650|D1188|D264,35
95,D1556|D1114|D621|D1314|D278|D245|D961|D474|D1223|D241|D844|D457|D1178|D1487|D1357|D1238,41
96,D338|D1568|D845|D1562|D746|D768|D115|D1083|D1344|D294|D1383|D974|D1451|D1097|D194|D394,40
97,D1086|D1190|D618|D448|D533|D1472|D327|D921|D449|D997|D455|D1229|D435|D1079|D1589|D204,46
98,D1012|D136|D539|D954|D1474|D879|D1100|D1528|D613|D552|D421|D796|D550|D1489|D1294|D318,52
99,D1115|D1297|D849|D624|D915|D848|D890|D1035|D503|D77|D1201|D139|D487|D246|D888|D966,49
100,D166|D438|D1276|D1564|D1131|D71|D1055|D647|D109|D1129|D1245|D887|D377|D1442|D422|D150,48

总分拣项数: 8345
